source_system,supplier_name,supplier_name_clean,supplier_name_normalized,email_clean,email_is_valid,phone_digits,phone_is_valid,category_standardized,order_date,delivery_date,order_status_clean,quantity_ordered,negotiated_price_amount,annual_spend_amount,defective_units_count,compliance_status_clean,risk_signal,completeness_score
supplier_activity_api,ABC Tech LLC,Abc Tech Llc,ABC TECH,info@abctech.com,True,2125550199,True,,,,,,,,,,low,0.75
conference_csv,ABC Tech LLC,Abc Tech Llc,ABC TECH,info@abctech.com,True,2125550199,True,IT Services,,,,,,,,,,1.0
government_vendor,ABC Technologies,Abc Technologies,ABC TECH,procurement@abctech.com,True,2125550199,True,IT Services,,,,,,,,,,1.0
erp_export,ABC Technologies LLC,Abc Technologies Llc,ABC TECH,ap@abctech.com,True,2125550199,True,IT Services,,,,,,124500.22,,,,0.875
conference_csv,ABC Technologies LLC,Abc Technologies Llc,ABC TECH,hello@abctech.com,True,2125550199,True,IT Services,,,,,,,,,,1.0
erp_export,Acme Medical Devices,Acme Medical Devices,ACME MEDICAL DEVICES,sales@acmemed.example,True,6175550103,True,Medical Devices,,,,,,98200.0,,,,0.875
government_vendor,Acme Medical Devices,Acme Medical Devices,ACME MEDICAL DEVICES,sales@acmemed.example,True,6175550103,True,Medical Devices,,,,,,,,,,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2023-10-17,2023-10-25,Cancelled,1176.0,17.81,20944.559999999998,,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-04-15,2022-04-29,Delivered,1094.0,32.78,35861.32,22.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-03-06,2023-03-26,Delivered,855.0,67.16,57421.799999999996,17.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-01-07,2022-01-15,Delivered,1234.0,15.66,19324.44,26.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2023-12-16,2023-12-17,Delivered,1387.0,43.71,60625.770000000004,27.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-03-09,2023-03-17,Delivered,71.0,43.18,3065.78,0.0,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2022-12-19,,Delivered,1025.0,19.25,19731.25,15.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-04-16,,Pending,736.0,15.33,11282.88,18.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-01-23,2023-02-02,Pending,1949.0,63.26,123293.73999999999,48.0,No,high,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2023-08-15,2023-08-16,Delivered,1892.0,28.81,54508.52,35.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-02-16,2022-03-04,Delivered,216.0,12.31,2658.96,5.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2022-10-24,2022-10-26,Delivered,650.0,88.28,57382.0,12.0,Yes,medium,1.0
